ACCOUNT_ID,INBOUND_COUNT
Starbucks Global (IG),83734.0
Starbucks Global (TT),50574.0
Starbucks Global (X),36945.0
Starbucks Korea (IG),14059.0
Starbucks India (IG),12530.0
Starbucks Vietnam (FB),12444.0
Starbucks Global (FB),12317.0
Starbucks Thailand (FB),11191.0
Starbucks France (IG),8758.0
Starbucks Canada (IG),7110.0
Starbucks UK (IG),6991.0
Starbucks Turkey (IG),6943.0
Starbucks Mexico (IG),6385.0
Starbucks Indonesia (IG),6208.0
Starbucks KSA (IG),4706.0
Starbucks Mexico (FB),4303.0
Starbucks Global (LI),4072.0
Starbucks Canada (TT),4038.0
Starbucks Philippines (FB),3605.0
Starbucks UK (FB),2978.0
Starbucks Malaysia (IG),2851.0
Starbucks UAE (IG),2850.0
Starbucks Germany (IG),2731.0
Starbucks Singapore (IG),2177.0
Starbucks Spain (IG),2087.0
Starbucks Kuwait (IG),2002.0
Starbucks Philippines (IG),1965.0
Starbucks Poland (IG),1891.0
Listening,1810.0
Starbucks Mexico (TT),1795.0
Starbucks UK (X),1611.0
Starbucks El Salvador (IG),1500.0
Starbucks Guatemala (IG),1321.0
Starbucks Cambodia (FB),1256.0
Starbucks KSA (TT),1189.0
Starbucks Costa Rica (IG),1154.0
Starbucks Greece (IG),1141.0
Starbucks Italy (IG),1071.0
Starbucks UK (TT),1041.0
Starbucks Taiwan (IG),1029.0
Starbucks Mexico (X),1011.0
Starbucks Guatemala (FB),982.0
Starbucks Indonesia (TT),969.0
Starbucks Canada (FB),968.0
Starbucks Egypt (IG),963.0
Starbucks Jordan (IG),954.0
Starbucks El Salvador (FB),917.0
Starbucks Denmark (TT),884.0
Starbucks Azerbaijan (IG),870.0
starbuckshk,789.0
Starbucks Hungary (IG),755.0
Starbucks Thailand (IG),733.0
Starbucks Malaysia (FB),726.0
Starbucks Indonesia (FB),717.0
Starbucks Vietnam (IG),711.0
Starbucks Taiwan (FB),684.0
Starbucks KSA (FB),676.0
Starbucks Romania (IG),656.0
Starbucks Costa Rica (FB),638.0
Starbucks Portugal (IG),609.0
Starbucks Netherlands (IG),595.0
Starbucks Cambodia (TT),581.0
Starbucks Turkey (FB),568.0
Starbucks Global (TH),548.0
Starbucks Switzerland (IG),541.0
Starbucks España (TT),509.0
Starbucks Uruguay (IG),475.0
Starbucks Austria (IG),475.0
starbucksnz,469.0
Starbucks Norway (IG),430.0
Starbucks Cyprus (IG),411.0
Starbucks Honduras (IG),401.0
starbucksreserve_mil,355.0
Starbucks Laos,352.0
Starbucks Care (X),321.0
Starbucks Korea (FB),316.0
Starbucks Hungary (FB),315.0
Starbucks Indonesia (X),313.0
Starbucks Singapore (FB),302.0
Starbucks Poland (FB),299.0
Starbucks France (FB),295.0
Starbucks Philippines (TT),293.0
Starbucks Malta (IG),274.0
Starbucks Bahrain (IG),265.0
Starbucks Vietnam (TT),263.0
Starbucks France (TT),243.0
Starbucks South Africa (IG),226.0
Starbucks Egypt (FB),206.0
Starbucks Netherlands (FB),205.0
Starbucks UAE (TT),184.0
Starbucks Hong Kong,184.0
Starbucks Singapore (TT),179.0
Starbucks Qatar (IG),177.0
Starbucks Korea (TT),175.0
Starbucks España (FB),169.0
Starbucks Denmark (IG),167.0
Starbucks Belgium (IG),166.0
Starbucks Colombia (TT),160.0
Starbucks Oman (IG),160.0
Starbucks Honduras (FB),155.0
Starbucks Germany (TT),153.0
Starbucks Morocco (IG),144.0
Starbucks Thailand (TT),139.0
Starbucks Malaysia (X),130.0
Starbucks Brazil (TT),127.0
Starbucks UK GBP (FB Ads),124.0
Starbucks Cambodia (IG),121.0
Starbucks Netherlands (TT),121.0
Starbucks Italy (TT),120.0
Starbucks Romania (FB),97.0
Starbucks New Zealand,90.0
Starbucks India (FB),83.0
Starbucks Switzerland (TT),82.0
Starbucks South Africa (FB),82.0
Starbucks Kuwait (TT),79.0
Starbucks Poland (TT),78.0
Starbucks Malta (FB),75.0
Starbucks Austria (TT),71.0
Starbucks Sweden (IG),64.0
Starbucks Germany (FB),61.0
Starbucks Lebanon (IG),58.0
Starbucks Italy (FB),56.0
Starbucks Portugal (TT),53.0
Starbucks Greece (TT),51.0
Starbucks UAE (FB),49.0
Starbucks Norway (FB),49.0
Starbucks Greece (FB),45.0
Starbucks Denmark (FB),39.0
Starbucks Mexico (TH),37.0
Starbucks Malta (TT),35.0
Starbucks Egypt (TT),33.0
Starbucks Qatar (TT),26.0
Starbucks Kuwait (FB),25.0
starbucksnz_ (TT),24.0
Starbucks Colombia (X),23.0
Starbucks Belgium (FB),19.0
Joe's Apples and Fruits (X) - Test,18.0
Starbucks Brasil (X),18.0
Starbucks Norway (TT),17.0
Starbucks Mexico (YT),13.0
Starbucks Portugal (FB),13.0
Starbucks Uruguay (FB),12.0
Starbucks Bulgaria (TT),12.0
Starbucks Bahrain (TT),11.0
Starbucks Reserve Roastery Milano,11.0
Starbucks Brunei,11.0
Starbucks Cyprus (FB),10.0
Starbucks Colombia (TH),9.0
Starbucks Cyprus (TT),9.0
Starbucks Macau,8.0
Starbucks Belgium (TT),7.0
Starbucks Jordan (FB),6.0
starbuckslaos,6.0
starbucks_laos,6.0
Starbucks Canada (PN),5.0
Starbucks Azerbaijan (FB),4.0
Starbucks Switzerland (FB),3.0
Starbucks Sweden (FB),3.0
Starbucks Asia Pacific (LI),2.0
Starbucks Oman (FB),1.0
Starbucks Morocco (FB),1.0
Starbucks Qatar (FB),1.0
Starbucks Korea (FB Ads),1.0
STARBUCK LAOS (LA),1.0
