ACCOUNT_ID,TOTAL_ENGAGEMENT
Starbucks Vietnam (FB),32100.0
Starbucks Global (FB),197280.0
Starbucks Thailand (FB),57680.0
Starbucks Global (IG),1145599.0
Starbucks Malaysia (IG),119485.0
Starbucks Philippines (FB),20759.0
Starbucks Indonesia (IG),78018.0
Starbucks Canada (IG),76425.0
Starbucks Turkey (IG),57187.0
Starbucks Canada (FB),4955.0
Starbucks UK (FB),8842.0
Starbucks KSA (IG),7058.0
Starbucks Mexico (FB),19141.0
Starbucks France (IG),49071.0
Starbucks Global (TT),525314.0
Starbucks Korea (IG),206708.0
Starbucks Kuwait (IG),6095.0
Starbucks UAE (IG),4357.0
Starbucks Poland (IG),39556.0
Starbucks El Salvador (IG),22560.0
Starbucks Singapore (IG),34705.0
Starbucks Cambodia (FB),23092.0
Starbucks Spain (IG),33720.0
Starbucks Indonesia (FB),14075.0
Starbucks El Salvador (FB),8123.0
Starbucks Guatemala (FB),7206.0
Starbucks Philippines (IG),117876.0
Starbucks UK (IG),38848.0
Starbucks Costa Rica (IG),28326.0
Starbucks Hungary (IG),28310.0
Starbucks Guatemala (IG),26590.0
Starbucks Vietnam (IG),17438.0
Starbucks Malaysia (FB),5107.0
Starbucks Turkey (FB),8530.0
Starbucks Costa Rica (FB),3831.0
Starbucks UK GBP (FB Ads),0.0
starbucksnz,3365.0
Starbucks India (IG),48248.0
Starbucks Switzerland (IG),1493.0
Starbucks Mexico (TT),43880.0
Starbucks KSA (FB),28626.0
Starbucks Romania (IG),13251.0
Starbucks Singapore (FB),2798.0
Starbucks Azerbaijan (IG),4736.0
Starbucks UK (X),61.0
Starbucks UAE (FB),1178.0
Starbucks Greece (IG),9062.0
Starbucks Hungary (FB),3504.0
Starbucks Laos,4852.0
Starbucks Kuwait (FB),163.0
Starbucks Cyprus (IG),4248.0
Starbucks Mexico (IG),273980.0
Starbucks Norway (IG),1813.0
starbuckshk,12767.0
Starbucks Poland (FB),1229.0
Starbucks Malta (IG),3292.0
Starbucks Taiwan (FB),11983.0
Starbucks Austria (IG),2447.0
Starbucks Italy (IG),15337.0
Starbucks Germany (IG),18149.0
Starbucks Portugal (IG),9146.0
Starbucks Honduras (FB),2524.0
Starbucks India (FB),14260.0
Starbucks Honduras (IG),4965.0
Starbucks Uruguay (IG),9343.0
Starbucks Azerbaijan (FB),52.0
Starbucks Taiwan (IG),63019.0
Starbucks Greece (FB),759.0
Starbucks Cambodia (IG),1345.0
Starbucks France (FB),1950.0
Starbucks Netherlands (IG),9850.0
Starbucks Hong Kong,1586.0
Starbucks España (FB),3410.0
Starbucks Korea (FB),6514.0
Starbucks South Africa (FB),313.0
Starbucks Uruguay (FB),85.0
Starbucks Mexico (X),165.0
Starbucks Denmark (IG),1079.0
Starbucks Paraguay (FB),3.0
Starbucks Malta (FB),258.0
Starbucks Norway (FB),221.0
Starbucks Bahrain (IG),1345.0
Starbucks España (TT),12053.0
Starbucks Denmark (FB),144.0
Starbucks Colombia (TT),1195.0
Starbucks Romania (FB),3870.0
Starbucks Thailand (IG),10514.0
Starbucks Netherlands (FB),761.0
Starbucks Italy (FB),700.0
Starbucks South Africa (IG),4981.0
Starbucks Cyprus (FB),325.0
Starbucks Brazil (TT),1177.0
Starbucks Germany (FB),582.0
Starbucks New Zealand,1765.0
starbucksreserve_mil,3121.0
Starbucks Global (LI),4947.0
Starbucks Qatar (IG),515.0
Starbucks Canada (TT),69520.0
Starbucks Portugal (FB),396.0
Starbucks Austria (FB),37.0
Starbucks Netherlands (TT),2100.0
Starbucks Sweden (IG),651.0
Starbucks UK (TT),5633.0
Starbucks Oman (IG),565.0
Starbucks Belgium (IG),4260.0
Starbucks Brunei,194.0
Starbucks Switzerland (FB),113.0
Starbucks Jordan (IG),476.0
Starbucks Reserve Roastery Milano,82.0
Starbucks Egypt (IG),3031.0
Starbucks Singapore (TT),7140.0
Starbucks Sweden (FB),102.0
Starbucks Belgium (FB),318.0
Starbucks Malta (TT),553.0
starbucksnz_ (TT),152.0
Starbucks Greece (TT),1291.0
Starbucks Oman (FB),4.0
Starbucks Poland (TT),625.0
Starbucks Kuwait (TT),2242.0
Starbucks France (TT),6842.0
Starbucks Switzerland (TT),1805.0
Starbucks Cyprus (TT),279.0
starbuckslaos,48.0
STARBUCK LAOS (LA),0.0
Starbucks Bahrain (FB),10.0
Starbucks Cambodia (TT),28078.0
Starbucks UAE (TT),12161.0
Starbucks Colombia (TH),194.0
Starbucks Macau,106.0
Starbucks Jordan (FB),45.0
Starbucks Morocco (IG),148.0
Starbucks Qatar (FB),15.0
Starbucks Egypt (FB),207.0
Starbucks Global (TH),5552.0
Starbucks Mexico (TH),768.0
Starbucks Thailand (TT),2874.0
Starbucks Denmark (TT),5417.0
Starbucks Canada (PN),4.0
Starbucks Lebanon (IG),274.0
Starbucks Germany (TT),894.0
Starbucks Austria (TT),1157.0
Starbucks Italy (TT),2068.0
Starbucks Bahrain (TT),149.0
Starbucks Qatar (TT),165.0
Starbucks Portugal (TT),2449.0
Starbucks Brasil (X),9.0
Starbucks KSA (TT),10550.0
Starbucks Morocco (FB),1.0
