ACCOUNT_ID,SN_TYPE,TOTAL_ENGAGEMENT,LIKES,SHARES,COMMENTS,REACH
Starbucks Vietnam (FB),Facebook,32177.0,28282.0,1625.0,2270.0,3134057.0
Starbucks Global (FB),Facebook,197280.0,178653.0,15496.0,3131.0,190688751.0
Starbucks Thailand (FB),Facebook,57717.0,51452.0,5172.0,1093.0,14451930.0
Starbucks Global (IG),Instagram,1145599.0,1053574.0,82726.0,9299.0,19049780.0
Starbucks Malaysia (IG),Instagram,119485.0,87799.0,30973.0,713.0,5525197.0
Starbucks Philippines (FB),Facebook,20768.0,12892.0,6564.0,1312.0,4221907.0
Starbucks Indonesia (IG),Instagram,78018.0,48225.0,27772.0,2021.0,7952948.0
Starbucks Canada (IG),Instagram,76425.0,55290.0,19769.0,1366.0,3479798.0
Starbucks Turkey (IG),Instagram,57187.0,30651.0,25877.0,659.0,3029572.0
Starbucks Canada (FB),Facebook,4955.0,4246.0,214.0,495.0,20953032.0
Starbucks UK (FB),Facebook,8842.0,7665.0,201.0,976.0,4733097.0
Starbucks KSA (IG),Instagram,7058.0,3444.0,3432.0,182.0,635137.0
Starbucks Mexico (FB),Facebook,19141.0,16498.0,1581.0,1062.0,45024006.0
Starbucks France (IG),Instagram,49071.0,33977.0,8376.0,6718.0,1130235.0
Starbucks Global (TT),TikTok,525314.0,485628.0,28008.0,11678.0,19437027.0
Starbucks Korea (IG),Instagram,206708.0,148837.0,51358.0,6513.0,11739461.0
Starbucks Kuwait (IG),Instagram,6095.0,3056.0,2804.0,235.0,338165.0
Starbucks UAE (IG),Instagram,4357.0,2612.0,1614.0,131.0,311104.0
Starbucks Poland (IG),Instagram,39556.0,28613.0,10488.0,455.0,1051998.0
Starbucks El Salvador (IG),Instagram,22560.0,18983.0,3525.0,52.0,1198927.0
Starbucks Singapore (IG),Instagram,34705.0,19491.0,15068.0,146.0,1630813.0
Starbucks Cambodia (FB),Facebook,23140.0,20186.0,2575.0,379.0,2127348.0
Starbucks Spain (IG),Instagram,33720.0,27506.0,5547.0,667.0,1134330.0
Starbucks Indonesia (FB),Facebook,14075.0,11855.0,296.0,1924.0,42183512.0
Starbucks El Salvador (FB),Facebook,8123.0,7888.0,146.0,89.0,18012889.0
Starbucks Guatemala (FB),Facebook,7206.0,6661.0,388.0,157.0,19961048.0
Starbucks Philippines (IG),Instagram,117876.0,90505.0,27071.0,300.0,2858503.0
Starbucks UK (IG),Instagram,38848.0,31060.0,6909.0,879.0,2513902.0
Starbucks Costa Rica (IG),Instagram,28326.0,17273.0,10964.0,89.0,1253468.0
Starbucks Hungary (IG),Instagram,28310.0,19646.0,8452.0,212.0,675715.0
Starbucks Guatemala (IG),Instagram,26590.0,22322.0,4179.0,89.0,1107739.0
Starbucks Vietnam (IG),Instagram,17438.0,13581.0,3783.0,74.0,451355.0
Starbucks Malaysia (FB),Facebook,5107.0,4268.0,598.0,241.0,1103810.0
Starbucks Turkey (FB),Facebook,8530.0,8121.0,233.0,176.0,1812440.0
Starbucks Costa Rica (FB),Facebook,3831.0,3600.0,129.0,102.0,16358904.0
Starbucks UK GBP (FB Ads),Facebook,0.0,0.0,0.0,0.0,0.0
starbucksnz,Instagram,3365.0,2852.0,485.0,28.0,163241.0
Starbucks India (IG),Instagram,48248.0,34741.0,13067.0,440.0,1567710.0
Starbucks Switzerland (IG),Instagram,1493.0,1127.0,298.0,68.0,139474.0
Starbucks Mexico (TT),TikTok,43880.0,35762.0,7469.0,649.0,3008091.0
Starbucks KSA (FB),Facebook,28626.0,27133.0,1081.0,412.0,28260246.0
Starbucks Romania (IG),Instagram,13251.0,9100.0,4095.0,56.0,357985.0
Starbucks Singapore (FB),Facebook,2803.0,2472.0,258.0,73.0,4372846.0
Starbucks Azerbaijan (IG),Instagram,4736.0,2790.0,1883.0,63.0,219553.0
Starbucks UK (X),X,61.0,26.0,2.0,33.0,41891635.0
Starbucks UAE (FB),Facebook,1178.0,1014.0,142.0,22.0,428044.0
Starbucks Greece (IG),Instagram,9062.0,6851.0,1586.0,625.0,280256.0
Starbucks Hungary (FB),Facebook,3504.0,3278.0,103.0,123.0,998620.0
Starbucks Laos,Facebook,4852.0,4566.0,178.0,108.0,2264489.0
Starbucks Kuwait (FB),Facebook,163.0,153.0,7.0,3.0,10662.0
Starbucks Cyprus (IG),Instagram,4248.0,2998.0,1226.0,24.0,236760.0
Starbucks Mexico (IG),Instagram,273980.0,237861.0,34648.0,1471.0,5332899.0
Starbucks Norway (IG),Instagram,1813.0,1296.0,317.0,200.0,79753.0
starbuckshk,Instagram,12767.0,9454.0,3286.0,27.0,480645.0
Starbucks Poland (FB),Facebook,1229.0,1131.0,38.0,60.0,1322380.0
Starbucks Malta (IG),Instagram,3292.0,1822.0,1438.0,32.0,70398.0
Starbucks Taiwan (FB),Facebook,11983.0,10882.0,991.0,110.0,3818923.0
Starbucks Austria (IG),Instagram,2447.0,1702.0,606.0,139.0,121448.0
Starbucks Italy (IG),Instagram,15337.0,12387.0,2741.0,209.0,368620.0
